Country,Life_expectancy_at_birth,Health_expenditure,Education_Index,Infants_lacking_immunization_DTP_pct_of_one_year_olds,Infants_lacking_immunization_measles_pct_of_one_year_olds,Domestic_general_government_health_expenditure_pct_of_GDP,Population_using_at_least_basic_sanitation_services_pct,Unemployment_total_pct_of_labour_force,Income_inequality_Gini_coefficient,Old_age_dependency_ratio_old_age_65_and_older_per_100_people_ages_15_64
Afghanistan,63.8,179.214,0.406,27,36,5,42,1.6,28.2,4.7
Albania,78.2,760.919,0.761,1,4,41,98,15.2,12.2,18.9
Angola,59.9,181.482,0.487,33,55,44,49,7.3,32.4,4.5
Argentina,76.2,1398.375,0.834,3,10,74,94,8,14,17
Armenia,74.6,807.741,0.755,3,3,16,93,17.6,8.6,16
Australia,83,4148.358,0.919,2,5,68,100,5.7,8.3,23
Austria,81.3,4645.784,0.865,5,5,73,100,6,7.4,28.3
Azerbaijan,72.5,1113.108,0.685,2,2,20,92,5,10.1,8.2
Bangladesh,71.8,82.176,0.496,1,3,18,47,4.4,27.6,7.8
Belarus,74,1056.069,0.839,1,2,61,98,5.8,6.5,20.9
Belgium,81.1,4221.4,0.893,1,4,84,99,7.8,8.8,28.4
Belize,74.2,473.909,0.696,2,5,66,88,7.9,21.3,7.1
Benin,60.9,78.39,0.472,16,32,21,16,2.4,36.4,6
Bhutan,70.8,313.04,0.437,1,3,74,68,2.3,27.4,8.7
Bosnia and Herzegovina,77,1083.392,0.708,10,32,71,95,25.4,12.9,21.5
Botswana,68.2,882.035,0.659,2,3,56,76,18,35.4,6.5
Brazil,75.2,1675.6,0.685,5,5,42,87,11.6,23.6,11.9
Bulgaria,74.7,1459.026,0.812,6,8,51,86,7.6,11.7,31.3
Burkina Faso,60.4,111.656,0.286,5,12,40,19,6.4,30.6,4.6
Burundi,60.5,42.718,0.429,3,7,23,46,1.6,29.7,4.1
Cabo Verde,72.3,323.128,0.539,4,7,57,72,12.3,21.4,6.8
Cambodia,69,211.487,0.472,6,16,22,57,1.1,19.2,6.6
Cameroon,58.1,154.395,0.558,8,22,13,39,3.5,30.5,5
Canada,82.1,4524.345,0.89,5,11,73,99,7,7.9,24.3
Central African Republic,51.6,31.433,0.352,31,51,15,25,6.7,41.8,5.4
Chad,53.4,83.88,0.278,45,63,19,9,2.4,37.9,4.9
Chile,79.8,1898.135,0.8,1,7,58,100,6.7,15.6,15.8
Colombia,76.7,779.213,0.68,7,7,62,89,8.7,22.6,11.7
Comoros,63.7,189.316,0.474,4,10,15,36,3.9,44.2,5.1
Congo,63.6,248.584,0.539,24,33,42,20,9.7,22.6,4.7
Congo (Democratic Republic of the),59.7,31.395,0.486,20,23,12,20,4.3,30.7,6
Costa Rica,79.7,1145.852,0.713,1,7,75,98,8.6,17.8,13
Croatia,78,1578.384,0.797,2,10,78,97,13.1,8.9,29.7
Cyprus,80.5,2208.138,0.811,2,10,42,99,13,13.1,18.7
Czechia,78.9,2253.24,0.892,2,2,82,99,4,5.4,27.9
Denmark,80.6,4791.766,0.92,3,6,84,100,6.2,7.7,30.4
Dominican Republic,73.5,896.582,0.655,2,15,46,84,7.3,22,10.3
Ecuador,76.4,873.096,0.714,6,14,51,87,4.6,20,10.5
Egypt,71.5,481.206,0.604,4,5,29,94,12.4,28.3,8.4
El Salvador,72.6,498.33,0.564,3,10,64,87,4.4,22.3,12.3
Estonia,78.1,1913.855,0.882,6,7,75,99,6.8,9.4,29.4
Eswatini (Kingdom of),57,730.114,0.541,4,11,69,58,22.7,29.4,7
Ethiopia,65.5,64.68,0.331,15,34,28,7,1.9,23.7,6.3
Finland,81.4,3804.94,0.915,1,6,77,99,8.8,8.4,33.1
France,82.3,4381.27,0.809,1,10,83,99,10.1,12.1,30.9
Gabon,65.4,512.244,0.628,17,36,65,47,19.6,22.3,6
Gambia,61.2,63.536,0.373,1,3,19,39,9.4,36.4,5
Georgia,73.2,777.504,0.845,3,7,37,90,14,11.5,21.9
Germany,80.9,4958.259,0.946,2,3,85,99,4.1,8.3,32.6
Ghana,63.1,168.52,0.557,6,11,38,18,6.8,28.8,5.1
Greece,81.7,2056.065,0.824,1,3,61,99,23.5,12.9,32.8
Guatemala,73.5,427.344,0.511,4,14,37,65,2.8,28.4,7.7
Guinea,60.2,110.385,0.34,37,52,12,22,3.7,32.2,5.5
Guinea-Bissau,57.3,93.147,0.401,11,14,44,20,4.2,39.4,5
Guyana,69.5,305.97,0.6,3,1,59,86,12.3,18.4,9.2
Haiti,62.9,89.37,0.437,16,31,15,34,13.7,38.4,7.7
Honduras,74.7,364.392,0.501,6,4,46,80,4.7,25.8,7.1
Hungary,76.3,1903.65,0.815,1,1,66,98,5.1,7.7,26.6
Iceland,82.6,3885.977,0.912,4,9,82,99,3,5.9,21.4
India,68.9,227.365,0.555,9,12,25,57,2.7,27.3,8.7
Indonesia,71,333.188,0.623,15,24,45,71,4.3,17.6,8.2
Iraq,70.1,544.929,0.51,13,20,21,92,8.1,21.1,5.5
Ireland,81.6,4647.052,0.918,2,8,72,91,8.4,8.6,20.2
Israel,82.5,2390.239,0.874,6,3,63,100,4.8,12.7,18.9
Italy,83,3091.415,0.79,2,13,74,99,11.7,12.3,34.7
Jamaica,74.2,495.015,0.687,1,5,61,87,13.2,16.2,12.8
Japan,84.1,4153.772,0.846,1,4,84,100,3.1,12.1,44
Jordan,74.2,457.6,0.676,1,4,63,97,15.3,16,6.2
Kazakhstan,72.1,820.645,0.809,7,1,59,98,5,7.9,10.5
Kenya,65.4,130.095,0.518,4,4,36,29,9.6,26.3,3.8
Korea (Republic of),82.4,2556.46,0.862,2,2,59,100,3.7,14,18.2
