ProbeID,Accession,Region,Other1,UniGeneID,GeneDescription,SYMBOL,GENENAME
Hsa.3004,H55933,3' UTR,1,203417,H.sapiens mRNA for homologue to yeast ribosomal protein L41.,NA,NA
Hsa.13491,R39465,3' UTR,2a,23933,EUKARYOTIC INITIATION FACTOR 4A (Oryctolagus cuniculus),NA,NA
Hsa.13491,R39465,3' UTR,2a,23933,EUKARYOTIC INITIATION FACTOR 4A (Oryctolagus cuniculus),NA,NA
Hsa.13491,R39465,3' UTR,2a,23933,EUKARYOTIC INITIATION FACTOR 4A (Oryctolagus cuniculus),NA,NA
Hsa.13491,R39465,3' UTR,2a,23933,EUKARYOTIC INITIATION FACTOR 4A (Oryctolagus cuniculus),NA,NA
Hsa.37254,R85482,3' UTR,2a,180093,SERUM RESPONSE FACTOR (Homo sapiens),NA,NA
Hsa.541,U14973,gene,1,NA,"Human ribosomal protein S29 mRNA, complete cds.                                                                                                                                                                                                       ",RPS29,ribosomal protein S29
Hsa.20836,R02593,3' UTR,2a,124094,60S ACIDIC RIBOSOMAL PROTEIN P1 (Polyorchis penicillatus),NA,NA
Hsa.20836,R02593,3' UTR,2a,124094,60S ACIDIC RIBOSOMAL PROTEIN P1 (Polyorchis penicillatus),NA,NA
Hsa.1977,T51496,3' UTR,1,71488,60S RIBOSOMAL PROTEIN L37A (HUMAN).,NA,NA
Hsa.44472,H80240,3' UTR,2a,240814,INTER-ALPHA-TRYPSIN INHIBITOR COMPLEX COMPONENT II PRECURSOR (Homo sapiens),NA,NA
Hsa.44472,H80240,3' UTR,2a,240814,INTER-ALPHA-TRYPSIN INHIBITOR COMPLEX COMPONENT II PRECURSOR (Homo sapiens),NA,NA
Hsa.3087,T65938,3' UTR,1,81639,TRANSLATIONALLY CONTROLLED TUMOR PROTEIN (HUMAN);.,NA,NA
Hsa.1447,T55131,3' UTR,1,73931,"GLYCERALDEHYDE 3-PHOSPHATE DEHYDROGENASE, LIVER (HUMAN).                                                                                                                                                                                      ",NA,NA
Hsa.750,T72863,3' UTR,1,84277,FERRITIN LIGHT CHAIN (HUMAN);.,NA,NA
Hsa.45293,H86060,3' UTR,2a,222326,NEGATIVE FACTOR (Simian immunodeficiency virus),NA,NA
Hsa.45293,H86060,3' UTR,2a,222326,NEGATIVE FACTOR (Simian immunodeficiency virus),NA,NA
Hsa.2555,X63432,gene,1,NA,H.sapiens ACTB mRNA for mutant beta-actin (beta'-actin).,ACTB,actin beta
Hsa.467,H20709,3' UTR,1,173155,"MYOSIN LIGHT CHAIN ALKALI, SMOOTH-MUSCLE ISOFORM (HUMAN);.                                                                                                                                                                                    ",NA,NA
Hsa.539,U14971,gene,1,NA,"Human ribosomal protein S9 mRNA, complete cds.                                                                                                                                                                                                        ",RPS9,ribosomal protein S9
Hsa.539,U14971,gene,1,NA,"Human ribosomal protein S9 mRNA, complete cds.                                                                                                                                                                                                        ",RPS9,ribosomal protein S9
Hsa.2357,T52342,3' UTR,1,72028,Human tra1 mRNA for human homologue of murine tumor rejection antigen gp96.,NA,NA
Hsa.2357,T52342,3' UTR,1,72028,Human tra1 mRNA for human homologue of murine tumor rejection antigen gp96.,NA,NA
Hsa.474,L28809,gene,1,NA,"Homo sapiens dbpB-like protein mRNA, complete cds.                                                                                                                                                                                                    ",YBX1,Y-box binding protein 1
Hsa.749,T63508,3' UTR,1,81465,FERRITIN HEAVY CHAIN (HUMAN);.,NA,NA
Hsa.24464,H09263,3' UTR,2a,46514,ELONGATION FACTOR 1-ALPHA 1 (Homo sapiens),NA,NA
Hsa.2597,T49423,3' UTR,1,67494,BREAST BASIC CONSERVED PROTEIN 1 (HUMAN).,NA,NA
Hsa.3835,H79852,3' UTR,2a,239944,60S ACIDIC RIBOSOMAL PROTEIN P2 (Babesia bovis),NA,NA
Hsa.6080,J02763,gene,1,NA,"Human calcyclin gene, complete cds.                                                                                                                                                                                                                  ",NA,NA
Hsa.3002,R22197,3' UTR,1,130829,60S RIBOSOMAL PROTEIN L32 (HUMAN);.,NA,NA
Hsa.1119,T59954,3' UTR,1,79441,THYMOSIN BETA-4 (HUMAN);.,NA,NA
Hsa.44472,H80240,3' UTR,2a,240814,INTER-ALPHA-TRYPSIN INHIBITOR COMPLEX COMPONENT II PRECURSOR (Homo sapiens),NA,NA
Hsa.44472,H80240,3' UTR,2a,240814,INTER-ALPHA-TRYPSIN INHIBITOR COMPLEX COMPONENT II PRECURSOR (Homo sapiens),NA,NA
Hsa.4689,T95018,3' UTR,2a,120032,40S RIBOSOMAL PROTEIN S18 (Homo sapiens),NA,NA
Hsa.45293,H86060,3' UTR,2a,222326,NEGATIVE FACTOR (Simian immunodeficiency virus),NA,NA
Hsa.45293,H86060,3' UTR,2a,222326,NEGATIVE FACTOR (Simian immunodeficiency virus),NA,NA
Hsa.5710,T63484,3' UTR,1,81437,"Human ornithine decarboxylase antizyme (Oaz) mRNA, complete cds.                                                                                                                                                                              ",NA,NA
Hsa.20836,R02593,3' UTR,2a,124094,60S ACIDIC RIBOSOMAL PROTEIN P1 (Polyorchis penicillatus),NA,NA
